model,experiment,property,MAE,Accuracy,Count
gpt,exp1_baseline,band_gap,1.7310825396825396,0.005,200
gpt,exp1_baseline,formation_energy_per_atom,1.3567372549036365,0.04,200
gpt,exp2_grounded,band_gap,2.7547408798511698e-17,1.0,200
gpt,exp2_grounded,formation_energy_per_atom,1.3127519904454488e-17,1.0,200
gpt,exp3_self_correction,band_gap,0.0,1.0,200
gpt,exp3_self_correction,formation_energy_per_atom,0.0,1.0,200
gpt,exp4_cov,band_gap,2.1094237467877973e-16,1.0,200
gpt,exp4_cov,formation_energy_per_atom,1.0547118733938987e-17,1.0,200
gpt,exp5_structured,band_gap,0.0,1.0,200
gpt,exp5_structured,formation_energy_per_atom,0.0,1.0,200
groq,exp1_baseline,band_gap,2.2710166666666662,0.0,200
groq,exp1_baseline,formation_energy_per_atom,1.0079355540446842,0.0,200
groq,exp2_grounded,band_gap,0.0005630000000000896,1.0,200
groq,exp2_grounded,formation_energy_per_atom,0.0012909661931105611,1.0,200
groq,exp3_self_correction,band_gap,5.4000000000088144e-05,1.0,200
groq,exp3_self_correction,formation_energy_per_atom,7.722625000111714e-07,1.0,200
groq,exp4_cov,band_gap,0.000114000000000197,1.0,200
groq,exp4_cov,formation_energy_per_atom,0.016573301530097354,0.995,200
groq,exp5_structured,band_gap,8.493206138382448e-17,1.0,200
groq,exp5_structured,formation_energy_per_atom,1.5543122344752193e-17,1.0,200
gemini,exp1_baseline,band_gap,1.3080285,0.0,200
gemini,exp1_baseline,formation_energy_per_atom,2.779600229518524,0.02,200
gemini,exp2_grounded,band_gap,4.0500000000150415e-05,1.0,200
gemini,exp2_grounded,formation_energy_per_atom,1.458333345194518e-09,1.0,200
gemini,exp3_self_correction,formation_energy_per_atom,0.0,1.0,30
gemini,exp4_cov,band_gap,2.5000000001679236e-06,1.0,200
gemini,exp4_cov,formation_energy_per_atom,1.172250001568731e-08,1.0,200
gemini,exp5_structured,band_gap,2.1593837828959295e-16,1.0,200
gemini,exp5_structured,formation_energy_per_atom,9.436895709313831e-18,1.0,200
