model,experiment,property,n,answer_rate,parse_fail_rate,refusal_rate,overall_acc,acc_given_answered
gemini,exp2.5_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp2.5_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gemini,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp1_baseline,band_gap,200.0,0.82,0.54,0.18,0.015625,0.017857142857142856
gpt,exp1_baseline,formation_energy_per_atom,200.0,0.82,0.17,0.18,0.05194805194805195,0.06153846153846154
gpt,exp2_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp2_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp3_self_correction,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
gpt,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp1_baseline,band_gap,200.0,0.98,0.955,0.02,0.0,0.0
groq,exp1_baseline,formation_energy_per_atom,200.0,0.63,0.05,0.385,0.0,0.0
groq,exp2_grounded,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp2_grounded,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp3_self_correction,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp4_cov,band_gap,200.0,1.0,0.0,0.0,0.89,0.89
groq,exp4_cov,formation_energy_per_atom,200.0,1.0,0.0,0.0,0.99,0.99
groq,exp5_structured,band_gap,200.0,1.0,0.0,0.0,1.0,1.0
groq,exp5_structured,formation_energy_per_atom,200.0,1.0,0.0,0.0,1.0,1.0
