task,error_type_auto,gemini,gpt,groq,groq
,,exp1_baseline,exp1_baseline,exp1_baseline,exp4_cov
band_gap,mode_guess,0.705,0.2964824120603015,0.02,0.0
band_gap,parse_fail,0.0,0.6432160804020101,0.96,0.0
band_gap,refusal,0.0,0.06030150753768844,0.01,0.0
band_gap,wrong_value_other,0.295,0.0,0.01,0.0
formation_energy_per_atom,mode_guess,0.4489795918367347,0.640625,0.41,0.0
formation_energy_per_atom,"mode_guess, scale_error",0.0,0.0,0.035,0.0
formation_energy_per_atom,"mode_guess, scale_error, sign_error",0.02040816326530612,0.0,0.0,0.0
formation_energy_per_atom,"mode_guess, sign_error",0.336734693877551,0.09375,0.0,0.0
formation_energy_per_atom,parse_fail,0.0,0.22395833333333334,0.175,0.0
formation_energy_per_atom,refusal,0.0,0.041666666666666664,0.05,0.0
formation_energy_per_atom,scale_error,0.00510204081632653,0.0,0.015,0.0
formation_energy_per_atom,"scale_error, sign_error",0.0,0.0,0.0,1.0
formation_energy_per_atom,sign_error,0.15816326530612246,0.0,0.005,0.0
formation_energy_per_atom,wrong_value_other,0.030612244897959183,0.0,0.31,0.0
